Country,Continent,Year,Shock_category,Shock_type,count
Afghanistan,Asia,1990,CLIMATIC,Extreme temperature,1
Afghanistan,Asia,1990,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,1990,CONFLICTS,Terrorist attack,2
Afghanistan,Asia,1990,TECHNOLOGICAL,Air,2
Afghanistan,Asia,1991,CLIMATIC,Extreme temperature,1
Afghanistan,Asia,1991,CLIMATIC,Flood,3
Afghanistan,Asia,1991,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,1991,CONFLICTS,Terrorist attack,30
Afghanistan,Asia,1991,GEOPHYSICAL,Earthquake,2
Afghanistan,Asia,1991,TECHNOLOGICAL,Air,1
Afghanistan,Asia,1991,TECHNOLOGICAL,Collapse (Miscellaneous),1
Afghanistan,Asia,1992,CLIMATIC,Flood,2
Afghanistan,Asia,1992,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,1992,CONFLICTS,Terrorist attack,36
Afghanistan,Asia,1992,GEOPHYSICAL,Earthquake,1
Afghanistan,Asia,1993,CLIMATIC,Mass movement (wet),2
Afghanistan,Asia,1993,CLIMATIC,Storm,1
Afghanistan,Asia,1993,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,1993,CONFLICTS,Terrorist attack,20
Afghanistan,Asia,1993,ECOLOGICAL,Infestation,1
Afghanistan,Asia,1993,TECHNOLOGICAL,Air,1
Afghanistan,Asia,1994,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,1994,CONFLICTS,Terrorist attack,9
Afghanistan,Asia,1994,GEOPHYSICAL,Earthquake,1
Afghanistan,Asia,1995,CLIMATIC,Flood,2
Afghanistan,Asia,1995,CLIMATIC,Mass movement (wet),1
Afghanistan,Asia,1995,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,1995,CONFLICTS,Terrorist attack,6
Afghanistan,Asia,1996,CLIMATIC,Flood,1
Afghanistan,Asia,1996,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,1996,CONFLICTS,Terrorist attack,4
Afghanistan,Asia,1996,GEOPHYSICAL,Earthquake,1
Afghanistan,Asia,1996,TECHNOLOGICAL,Explosion (Industrial),1
Afghanistan,Asia,1997,CLIMATIC,Flood,2
Afghanistan,Asia,1997,CLIMATIC,Mass movement (wet),1
Afghanistan,Asia,1997,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,1997,CONFLICTS,Terrorist attack,1
Afghanistan,Asia,1997,GEOPHYSICAL,Earthquake,1
Afghanistan,Asia,1997,TECHNOLOGICAL,Air,1
Afghanistan,Asia,1997,TECHNOLOGICAL,Explosion (Industrial),1
Afghanistan,Asia,1998,CLIMATIC,Flood,1
Afghanistan,Asia,1998,CLIMATIC,Mass movement (wet),1
Afghanistan,Asia,1998,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,1998,CONFLICTS,Terrorist attack,1
Afghanistan,Asia,1998,ECOLOGICAL,Infectious disease,2
Afghanistan,Asia,1998,GEOPHYSICAL,Earthquake,3
Afghanistan,Asia,1998,TECHNOLOGICAL,Air,1
Afghanistan,Asia,1999,CLIMATIC,Flood,1
Afghanistan,Asia,1999,CLIMATIC,Wildfire,1
Afghanistan,Asia,1999,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,1999,CONFLICTS,Terrorist attack,9
Afghanistan,Asia,1999,ECOLOGICAL,Infectious disease,4
Afghanistan,Asia,1999,GEOPHYSICAL,Earthquake,1
Afghanistan,Asia,2000,CLIMATIC,Drought,1
Afghanistan,Asia,2000,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,2000,CONFLICTS,Terrorist attack,14
Afghanistan,Asia,2000,ECOLOGICAL,Infectious disease,2
Afghanistan,Asia,2000,ECONOMIC,Currency Crises,1
Afghanistan,Asia,2000,TECHNOLOGICAL,Collapse (Miscellaneous),1
Afghanistan,Asia,2001,CLIMATIC,Extreme temperature,2
Afghanistan,Asia,2001,CONFLICTS,Interstate conflict,1
Afghanistan,Asia,2001,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,2001,CONFLICTS,Terrorist attack,14
Afghanistan,Asia,2001,ECOLOGICAL,Crops,1
Afghanistan,Asia,2001,ECOLOGICAL,Fisheries,1
Afghanistan,Asia,2001,ECOLOGICAL,Infectious disease,1
Afghanistan,Asia,2001,ECONOMIC,Currency Crises,1
Afghanistan,Asia,2001,GEOPHYSICAL,Earthquake,2
Afghanistan,Asia,2001,TECHNOLOGICAL,Air,1
Afghanistan,Asia,2002,CLIMATIC,Flood,4
Afghanistan,Asia,2002,CLIMATIC,Mass movement (wet),1
Afghanistan,Asia,2002,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,2002,CONFLICTS,Terrorist attack,38
Afghanistan,Asia,2002,ECOLOGICAL,Infectious disease,2
Afghanistan,Asia,2002,ECONOMIC,Currency Crises,1
Afghanistan,Asia,2002,GEOPHYSICAL,Earthquake,3
Afghanistan,Asia,2002,TECHNOLOGICAL,Explosion (Miscellaneous),2
Afghanistan,Asia,2002,TECHNOLOGICAL,Road,2
Afghanistan,Asia,2003,CLIMATIC,Flood,8
Afghanistan,Asia,2003,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,2003,CONFLICTS,Terrorist attack,100
Afghanistan,Asia,2003,ECOLOGICAL,Infectious disease,2
Afghanistan,Asia,2003,ECONOMIC,Currency Crises,1
Afghanistan,Asia,2003,GEOPHYSICAL,Earthquake,1
Afghanistan,Asia,2003,TECHNOLOGICAL,Explosion (Miscellaneous),1
Afghanistan,Asia,2004,CLIMATIC,Flood,2
Afghanistan,Asia,2004,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,2004,CONFLICTS,Terrorist attack,88
Afghanistan,Asia,2004,ECONOMIC,Currency Crises,1
Afghanistan,Asia,2004,GEOPHYSICAL,Earthquake,1
Afghanistan,Asia,2004,TECHNOLOGICAL,Collapse (Industrial),1
Afghanistan,Asia,2004,TECHNOLOGICAL,Explosion (Industrial),1
Afghanistan,Asia,2004,TECHNOLOGICAL,Miscellaneous accident (General),1
Afghanistan,Asia,2005,CLIMATIC,Extreme temperature,1
Afghanistan,Asia,2005,CLIMATIC,Flood,8
Afghanistan,Asia,2005,CLIMATIC,Storm,1
Afghanistan,Asia,2005,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,2005,CONFLICTS,Terrorist attack,155
Afghanistan,Asia,2005,ECOLOGICAL,Infectious disease,1
Afghanistan,Asia,2005,ECONOMIC,Currency Crises,1
Afghanistan,Asia,2005,GEOPHYSICAL,Earthquake,2
Afghanistan,Asia,2005,TECHNOLOGICAL,Air,2
Afghanistan,Asia,2005,TECHNOLOGICAL,Collapse (Miscellaneous),1
Afghanistan,Asia,2005,TECHNOLOGICAL,Explosion (Miscellaneous),1
Afghanistan,Asia,2005,TECHNOLOGICAL,Road,2
Afghanistan,Asia,2006,CLIMATIC,Drought,1
Afghanistan,Asia,2006,CLIMATIC,Flood,7
Afghanistan,Asia,2006,CLIMATIC,Mass movement (wet),2
Afghanistan,Asia,2006,CLIMATIC,Storm,2
Afghanistan,Asia,2006,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,2006,CONFLICTS,Terrorist attack,283
Afghanistan,Asia,2006,ECONOMIC,Currency Crises,1
Afghanistan,Asia,2006,GEOPHYSICAL,Earthquake,1
Afghanistan,Asia,2006,TECHNOLOGICAL,Air,2
Afghanistan,Asia,2007,CLIMATIC,Flood,7
Afghanistan,Asia,2007,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,2007,CONFLICTS,Terrorist attack,342
Afghanistan,Asia,2007,ECONOMIC,Currency Crises,1
Afghanistan,Asia,2007,TECHNOLOGICAL,Road,1
Afghanistan,Asia,2008,CLIMATIC,Drought,1
Afghanistan,Asia,2008,CLIMATIC,Extreme temperature,1
Afghanistan,Asia,2008,CLIMATIC,Flood,1
Afghanistan,Asia,2008,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,2008,CONFLICTS,Terrorist attack,414
Afghanistan,Asia,2008,ECONOMIC,Currency Crises,1
Afghanistan,Asia,2008,TECHNOLOGICAL,Road,1
Afghanistan,Asia,2009,CLIMATIC,Flood,3
Afghanistan,Asia,2009,CLIMATIC,Mass movement (wet),1
Afghanistan,Asia,2009,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,2009,CONFLICTS,Terrorist attack,503
Afghanistan,Asia,2009,ECOLOGICAL,Infectious disease,1
Afghanistan,Asia,2009,GEOPHYSICAL,Earthquake,1
Afghanistan,Asia,2009,TECHNOLOGICAL,Air,3
Afghanistan,Asia,2010,CLIMATIC,Flood,2
Afghanistan,Asia,2010,CLIMATIC,Mass movement (wet),2
Afghanistan,Asia,2010,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,2010,CONFLICTS,Terrorist attack,542
Afghanistan,Asia,2010,ECONOMIC,Currency Crises,1
Afghanistan,Asia,2010,GEOPHYSICAL,Earthquake,1
Afghanistan,Asia,2010,TECHNOLOGICAL,Air,1
Afghanistan,Asia,2010,TECHNOLOGICAL,Collapse (Miscellaneous),1
Afghanistan,Asia,2010,TECHNOLOGICAL,Road,2
Afghanistan,Asia,2011,CLIMATIC,Drought,1
Afghanistan,Asia,2011,CLIMATIC,Flood,2
Afghanistan,Asia,2011,CLIMATIC,Storm,1
Afghanistan,Asia,2011,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,2011,CONFLICTS,Terrorist attack,421
Afghanistan,Asia,2011,ECONOMIC,Currency Crises,1
Afghanistan,Asia,2011,TECHNOLOGICAL,Road,3
Afghanistan,Asia,2012,CLIMATIC,Extreme temperature,1
Afghanistan,Asia,2012,CLIMATIC,Flood,6
Afghanistan,Asia,2012,CLIMATIC,Mass movement (wet),3
Afghanistan,Asia,2012,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,2012,CONFLICTS,Terrorist attack,1469
Afghanistan,Asia,2012,ECONOMIC,Currency Crises,1
Afghanistan,Asia,2012,GEOPHYSICAL,Earthquake,1
Afghanistan,Asia,2012,TECHNOLOGICAL,Road,1
Afghanistan,Asia,2013,CLIMATIC,Flood,4
Afghanistan,Asia,2013,CLIMATIC,Mass movement (wet),1
Afghanistan,Asia,2013,CONFLICTS,Intrastate conflict,1
Afghanistan,Asia,2013,CONFLICTS,Terrorist attack,1443
Afghanistan,Asia,2013,GEOPHYSICAL,Earthquake,1
Afghanistan,Asia,2013,TECHNOLOGICAL,Collapse (Industrial),1
Afghanistan,Asia,2013,TECHNOLOGICAL,Road,1
Albania,Europe,1990,CONFLICTS,Terrorist attack,1
Albania,Europe,1991,CONFLICTS,Terrorist attack,1
Albania,Europe,1991,ECOLOGICAL,Aquaculture,1
Albania,Europe,1991,ECOLOGICAL,Fisheries,1
Albania,Europe,1991,ECONOMIC,Currency Crises,1
Albania,Europe,1991,TECHNOLOGICAL,Fire (Industrial),1
Albania,Europe,1992,CLIMATIC,Flood,1
Albania,Europe,1992,CONFLICTS,Terrorist attack,3
Albania,Europe,1992,ECOLOGICAL,Crops,1
Albania,Europe,1992,ECONOMIC,Currency Crises,1
Albania,Europe,1993,CONFLICTS,Terrorist attack,2
Albania,Europe,1993,ECONOMIC,Currency Crises,1
Albania,Europe,1994,CONFLICTS,Terrorist attack,2
Albania,Europe,1994,ECONOMIC,Banking Crises,1
Albania,Europe,1994,ECONOMIC,Currency Crises,1
Albania,Europe,1995,CLIMATIC,Flood,2
Albania,Europe,1995,ECONOMIC,Currency Crises,1
Albania,Europe,1996,CONFLICTS,Terrorist attack,6
Albania,Europe,1996,ECOLOGICAL,Infectious disease,1
Albania,Europe,1996,ECONOMIC,Currency Crises,1
Albania,Europe,1997,CLIMATIC,Flood,1
Albania,Europe,1997,CONFLICTS,Terrorist attack,41
Albania,Europe,1997,ECONOMIC,Currency Crises,1
Albania,Europe,1997,ECONOMIC,Debt Crises,1
Albania,Europe,1998,CONFLICTS,Terrorist attack,7
Albania,Europe,1998,ECONOMIC,Currency Crises,1
Albania,Europe,1998,GEOPHYSICAL,Earthquake,1
Albania,Europe,1999,CONFLICTS,Terrorist attack,3
Albania,Europe,1999,ECONOMIC,Currency Crises,1
Albania,Europe,2000,CONFLICTS,Terrorist attack,2
Albania,Europe,2000,ECONOMIC,Currency Crises,1
Albania,Europe,2001,CONFLICTS,Terrorist attack,1
Albania,Europe,2001,ECONOMIC,Currency Crises,1
Albania,Europe,2002,CLIMATIC,Flood,1
Albania,Europe,2002,CLIMATIC,Storm,1
Albania,Europe,2002,ECONOMIC,Currency Crises,1
Albania,Europe,2003,CONFLICTS,Terrorist attack,1
Albania,Europe,2004,CLIMATIC,Extreme temperature,1
Albania,Europe,2004,CLIMATIC,Flood,1
Albania,Europe,2004,CONFLICTS,Intrastate conflict,1
Albania,Europe,2004,TECHNOLOGICAL,Road,1
Albania,Europe,2005,CLIMATIC,Flood,1
Albania,Europe,2005,CLIMATIC,Storm,1
Albania,Europe,2005,CONFLICTS,Intrastate conflict,1
Albania,Europe,2006,CONFLICTS,Intrastate conflict,1
Albania,Europe,2007,CLIMATIC,Extreme temperature,1
Albania,Europe,2007,CLIMATIC,Wildfire,1
Albania,Europe,2007,CONFLICTS,Intrastate conflict,1
Albania,Europe,2008,CONFLICTS,Intrastate conflict,1
Albania,Europe,2008,TECHNOLOGICAL,Explosion (Miscellaneous),1
Albania,Europe,2008,TECHNOLOGICAL,Water,1
Albania,Europe,2009,CLIMATIC,Flood,1
Albania,Europe,2009,CONFLICTS,Intrastate conflict,1
Albania,Europe,2009,CONFLICTS,Terrorist attack,1
Albania,Europe,2009,ECOLOGICAL,Infectious disease,1
Albania,Europe,2009,GEOPHYSICAL,Earthquake,1
Albania,Europe,2010,CLIMATIC,Flood,1
Albania,Europe,2010,CONFLICTS,Intrastate conflict,1
Albania,Europe,2010,TECHNOLOGICAL,Road,1
Albania,Europe,2011,CONFLICTS,Intrastate conflict,1
Albania,Europe,2011,ECOLOGICAL,Infectious disease,1
Albania,Europe,2012,CLIMATIC,Extreme temperature,1
Albania,Europe,2012,CONFLICTS,Intrastate conflict,1
Albania,Europe,2012,TECHNOLOGICAL,Road,1
Albania,Europe,2013,CONFLICTS,Intrastate conflict,1
